batsman,batsman_hand,batsman_style,batsman_form,bowler,bowler_type,bowler_form,venue,weather,inning,overs,wickets,runs_needed,balls_remaining,current_run_rate,required_run_rate,ball_age,ball_type,bowling_speed_kph,bowling_path_type,pitch_line,pitch_length,batsman_reaction,shot_contact,runs_scored,is_wicket,win_probability_after
Rishabh Pant,Left,Aggressive,0.78,Rashid Khan,LegSpin,0.9,Eden Gardens (Kolkata),Sunny,2,11.2,5,95,52,6.43,10.96,11.2,SG Test,97.5,Googly,Middle Stump,Short,Defensive,Weak,1,0,0.5816162432537215
Virat Kohli,Right,Anchor,0.92,Yuzvendra Chahal,LegSpin,0.78,Eden Gardens (Kolkata),Overcast,2,7.4,3,113,74,8.51,9.16,7.4,Pink Ball,84.6,Normal,Middle Stump,Good Length,Glance,Edge,1,0,0.8554598938701794
Rishabh Pant,Left,Aggressive,0.78,Jasprit Bumrah,Fast,0.96,HPCA Stadium (Dharamshala),Sunny,1,11.6,8,0,48,8.97,0.0,11.6,White Kookaburra,142.3,Out-swinger,Middle Stump,Good Length,Slog,Missed,0,0,0.15
Rishabh Pant,Left,Aggressive,0.78,Rashid Khan,LegSpin,0.9,Wankhede Stadium (Mumbai),Night (Dew),2,10.2,7,122,58,7.25,12.62,10.2,White Kookaburra,94.9,Googly,Outside Off,Good Length,Slog,Edge,0,1,0.19236170212995013
Virat Kohli,Right,Anchor,0.92,Yuzvendra Chahal,LegSpin,0.78,M. A. Chidambaram Stadium (Chennai),Humid,2,15.1,8,36,29,9.01,7.45,15.1,SG Test,79.2,Normal,Outside Off,Good Length,Drive,Edge,4,0,0.6456563062257954
Suryakumar Yadav,Right,Aggressive,0.94,Jasprit Bumrah,Fast,0.96,HPCA Stadium (Dharamshala),Night (Dew),2,13.3,6,67,39,7.97,10.31,13.3,SG Test,145.9,In-swinger,Outside Off,Good Length,Drive,Missed,0,0,0.5263177603473254
Suryakumar Yadav,Right,Aggressive,0.94,Mitchell Starc,LeftArmFast,0.82,Eden Gardens (Kolkata),Night (Dew),1,9.5,4,0,61,8.32,0.0,9.5,Pink Ball,144.8,Yorker,On the Off Stump,Yorker,Ramp/Scoop,Solid,4,0,0.19139054059759883
MS Dhoni,Right,Finisher,0.86,Yuzvendra Chahal,LegSpin,0.78,Wankhede Stadium (Mumbai),Humid,2,18.2,9,1,10,10.11,0.6,18.2,White Kookaburra,81.0,Leg-break,On the Off Stump,Good Length,Drive,Solid,2,0,1.0
Rohit Sharma,Right,Aggressive,0.82,Yuzvendra Chahal,LegSpin,0.78,Rajiv Gandhi International Stadium (Hyderabad),Sunny,2,1.4,0,152,110,5.71,8.29,1.4,Pink Ball,82.9,Leg-break,Outside Off,Full,Drive,Weak,1,0,0.9641127333552965
MS Dhoni,Right,Finisher,0.86,Mitchell Starc,LeftArmFast,0.82,M. A. Chidambaram Stadium (Chennai),Sunny,2,9.2,4,78,64,8.59,7.31,9.2,White Kookaburra,140.9,Yorker,Middle Stump,Yorker,Defensive,Solid,1,0,0.8842526814109779
Rohit Sharma,Right,Aggressive,0.82,Yuzvendra Chahal,LegSpin,0.78,HPCA Stadium (Dharamshala),Overcast,1,13.2,6,0,40,9.39,0.0,13.2,SG Test,78.4,Googly,On the Off Stump,Short,Pull/Hook,Weak,0,0,0.22778250348406695
MS Dhoni,Right,Finisher,0.86,Rashid Khan,LegSpin,0.9,M. A. Chidambaram Stadium (Chennai),Night (Dew),1,1.2,0,0,112,6.67,0.0,1.2,SG Test,101.0,Leg-break,Outside Off,Good Length,Drive,Missed,0,0,0.3408425772883694
Virat Kohli,Right,Anchor,0.92,Jasprit Bumrah,Fast,0.96,Wankhede Stadium (Mumbai),Night (Dew),1,16.4,8,0,20,10.24,0.0,16.4,Pink Ball,143.8,Yorker,Outside Off,Yorker,Defensive,Weak,0,0,0.15
Virat Kohli,Right,Anchor,0.92,Jasprit Bumrah,Fast,0.96,Narendra Modi Stadium (Ahmedabad),Sunny,2,3.1,1,164,101,6.45,9.74,3.1,White Kookaburra,127.2,Cutter,Outside Off,Short,Lofted Shot,Missed,0,0,0.9134099593990345
Shubman Gill,Right,Anchor,0.85,Ravindra Jadeja,Ortho,0.86,Wankhede Stadium (Mumbai),Sunny,2,13.5,6,88,37,6.67,14.27,13.5,Pink Ball,95.4,Normal,Outside Off,Good Length,Drive,Weak,1,0,0.21840253609763446
Virat Kohli,Right,Anchor,0.92,Rashid Khan,LegSpin,0.9,Arun Jaitley Stadium (Delhi),Night (Dew),2,11.3,5,64,51,8.67,7.53,11.3,SG Test,97.6,Googly,Middle Stump,Good Length,Defensive,Solid,4,0,0.8470955135121417
Suryakumar Yadav,Right,Aggressive,0.94,Yuzvendra Chahal,LegSpin,0.78,M. Chinnaswamy Stadium (Bengaluru),Night (Dew),1,2.4,1,0,104,10.0,0.0,2.4,Pink Ball,83.5,Normal,Outside Off,Good Length,Drive,Weak,0,0,0.4604991542290941
Rishabh Pant,Left,Aggressive,0.78,Mitchell Starc,LeftArmFast,0.82,M. Chinnaswamy Stadium (Bengaluru),Night (Dew),2,3.6,1,168,96,7.22,10.5,3.6,Pink Ball,138.5,Yorker,On the Off Stump,Yorker,Defensive,Weak,0,0,0.8926706724196488
Rishabh Pant,Left,Aggressive,0.78,Yuzvendra Chahal,LegSpin,0.78,Wankhede Stadium (Mumbai),Humid,2,3.4,1,149,98,10.29,9.12,3.4,SG Test,82.7,Normal,Outside Off,Good Length,Lofted Shot,Edge,0,0,0.9291843281070813
Shubman Gill,Right,Anchor,0.85,Rashid Khan,LegSpin,0.9,Rajiv Gandhi International Stadium (Hyderabad),Night (Dew),1,15.6,9,0,24,8.27,0.0,15.6,White Kookaburra,94.0,Leg-break,Middle Stump,Good Length,Glance,Weak,2,0,0.15
Suryakumar Yadav,Right,Aggressive,0.94,Ravindra Jadeja,Ortho,0.86,M. A. Chidambaram Stadium (Chennai),Night (Dew),2,3.2,1,152,100,8.75,9.12,3.2,Pink Ball,95.3,Normal,Middle Stump,Good Length,Sweep,Edge,1,0,0.9319457673371437
Suryakumar Yadav,Right,Aggressive,0.94,Jasprit Bumrah,Fast,0.96,Narendra Modi Stadium (Ahmedabad),Overcast,1,19.3,9,0,3,8.7,0.0,19.3,White Kookaburra,144.4,Bouncer,Outside Off,Short,Lofted Shot,Edge,0,0,0.15
Rohit Sharma,Right,Aggressive,0.82,Jasprit Bumrah,Fast,0.96,Arun Jaitley Stadium (Delhi),Sunny,2,15.2,8,39,28,8.36,8.36,15.2,SG Test,149.8,In-swinger,On the Off Stump,Good Length,Drive,Edge,0,1,0.3933306438917885
Rohit Sharma,Right,Aggressive,0.82,Jasprit Bumrah,Fast,0.96,Rajiv Gandhi International Stadium (Hyderabad),Sunny,1,9.2,5,0,64,9.35,0.0,9.2,Pink Ball,146.8,In-swinger,On the Off Stump,Good Length,Drive,Missed,0,1,0.18351556935064522
MS Dhoni,Right,Finisher,0.86,Rashid Khan,LegSpin,0.9,Eden Gardens (Kolkata),Sunny,1,7.6,3,0,72,10.26,0.0,7.6,White Kookaburra,93.1,Googly,Outside Off,Short,Slog,Edge,0,0,0.43936243015519416
Rohit Sharma,Right,Aggressive,0.82,Rashid Khan,LegSpin,0.9,Rajiv Gandhi International Stadium (Hyderabad),Humid,2,17.2,8,28,16,9.94,10.5,17.2,Pink Ball,92.7,Leg-break,Leg Stump,Good Length,Defensive,Weak,1,0,0.3143198860617461
Rohit Sharma,Right,Aggressive,0.82,Jasprit Bumrah,Fast,0.96,Eden Gardens (Kolkata),Overcast,1,15.3,9,0,27,8.95,0.0,15.3,White Kookaburra,149.5,Bouncer,Middle Stump,Short,Pull/Hook,Edge,1,0,0.15
Rishabh Pant,Left,Aggressive,0.78,Mitchell Starc,LeftArmFast,0.82,Arun Jaitley Stadium (Delhi),Overcast,1,9.6,5,0,60,7.29,0.0,9.6,Pink Ball,149.1,Yorker,Outside Off,Yorker,Slog,Edge,4,0,0.15
Rohit Sharma,Right,Aggressive,0.82,Ravindra Jadeja,Ortho,0.86,HPCA Stadium (Dharamshala),Humid,1,16.3,8,0,21,9.69,0.0,16.3,Pink Ball,94.7,Normal,Leg Stump,Short,Defensive,Weak,0,0,0.1615994807499855
Rishabh Pant,Left,Aggressive,0.78,Jasprit Bumrah,Fast,0.96,Arun Jaitley Stadium (Delhi),Overcast,2,6.5,3,99,79,8.31,7.52,6.5,SG Test,147.7,In-swinger,Outside Off,Good Length,Slog,Missed,0,0,0.911703582615337
Suryakumar Yadav,Right,Aggressive,0.94,Yuzvendra Chahal,LegSpin,0.78,M. Chinnaswamy Stadium (Bengaluru),Humid,1,10.4,7,0,56,11.06,0.0,10.4,White Kookaburra,88.0,Googly,Leg Stump,Good Length,Defensive,Solid,4,0,0.20962841797609605
MS Dhoni,Right,Finisher,0.86,Mitchell Starc,LeftArmFast,0.82,Wankhede Stadium (Mumbai),Night (Dew),1,1.2,0,0,112,7.5,0.0,1.2,Pink Ball,146.0,Bouncer,Middle Stump,Short,Defensive,Weak,1,0,0.3276683008207139
MS Dhoni,Right,Finisher,0.86,Ravindra Jadeja,Ortho,0.86,Eden Gardens (Kolkata),Overcast,1,1.4,0,0,110,9.29,0.0,1.4,Pink Ball,93.2,Normal,Leg Stump,Good Length,Drive,Weak,1,0,0.5462011641349195
Virat Kohli,Right,Anchor,0.92,Ravindra Jadeja,Ortho,0.86,Rajiv Gandhi International Stadium (Hyderabad),Sunny,1,15.6,7,0,24,9.1,0.0,15.6,SG Test,70.6,Cutter,Middle Stump,Full,Glance,Weak,0,0,0.15
Rishabh Pant,Left,Aggressive,0.78,Jasprit Bumrah,Fast,0.96,M. Chinnaswamy Stadium (Bengaluru),Humid,2,17.2,9,84,16,7.44,31.5,17.2,White Kookaburra,140.4,Bouncer,Leg Stump,Short,Defensive,Weak,1,0,0.00012095149520497199
Rohit Sharma,Right,Aggressive,0.82,Yuzvendra Chahal,LegSpin,0.78,Rajiv Gandhi International Stadium (Hyderabad),Sunny,2,10.6,5,114,54,6.98,12.67,10.6,Pink Ball,86.1,Leg-break,On the Off Stump,Full,Drive,Weak,1,0,0.431101495904687
Rohit Sharma,Right,Aggressive,0.82,Jasprit Bumrah,Fast,0.96,Arun Jaitley Stadium (Delhi),Night (Dew),2,3.4,1,156,98,8.53,9.55,3.4,Pink Ball,146.4,In-swinger,Outside Off,Full,Defensive,Weak,1,0,0.9224657087508157
Rohit Sharma,Right,Aggressive,0.82,Jasprit Bumrah,Fast,0.96,M. Chinnaswamy Stadium (Bengaluru),Overcast,2,6.2,4,141,82,11.45,10.32,6.2,White Kookaburra,147.8,Bouncer,Outside Off,Short,Pull/Hook,Weak,1,0,0.7251933143053414
MS Dhoni,Right,Finisher,0.86,Jasprit Bumrah,Fast,0.96,Eden Gardens (Kolkata),Overcast,1,12.2,6,0,46,7.79,0.0,12.2,Pink Ball,127.6,Cutter,Outside Off,Full,Drive,Edge,1,0,0.15
MS Dhoni,Right,Finisher,0.86,Rashid Khan,LegSpin,0.9,HPCA Stadium (Dharamshala),Overcast,2,6.4,3,143,80,6.56,10.72,6.4,Pink Ball,95.4,Leg-break,Outside Off,Short,Defensive,Solid,4,0,0.7866858933387876
Virat Kohli,Right,Anchor,0.92,Mitchell Starc,LeftArmFast,0.82,Wankhede Stadium (Mumbai),Overcast,2,13.5,7,96,37,6.52,15.57,13.5,White Kookaburra,137.9,In-swinger,On the Off Stump,Full,Drive,Weak,1,0,0.10511251319005442
MS Dhoni,Right,Finisher,0.86,Jasprit Bumrah,Fast,0.96,M. A. Chidambaram Stadium (Chennai),Sunny,2,7.5,4,104,73,5.2,8.55,7.5,SG Test,140.4,Bouncer,Middle Stump,Short,Defensive,Weak,0,0,0.8273078959170554
Virat Kohli,Right,Anchor,0.92,Rashid Khan,LegSpin,0.9,M. Chinnaswamy Stadium (Bengaluru),Sunny,2,5.1,2,137,89,7.45,9.24,5.1,White Kookaburra,97.0,Googly,Leg Stump,Good Length,Glance,Solid,2,0,0.8982938154802385
Shubman Gill,Right,Anchor,0.85,Jasprit Bumrah,Fast,0.96,Eden Gardens (Kolkata),Overcast,1,7.3,3,0,75,8.08,0.0,7.3,SG Test,129.5,Cutter,Outside Off,Good Length,Defensive,Solid,0,0,0.20871860937971756
MS Dhoni,Right,Finisher,0.86,Rashid Khan,LegSpin,0.9,Wankhede Stadium (Mumbai),Humid,1,2.6,1,0,102,8.85,0.0,2.6,White Kookaburra,101.8,Googly,On the Off Stump,Full,Defensive,Weak,1,0,0.4186969093556867
Virat Kohli,Right,Anchor,0.92,Yuzvendra Chahal,LegSpin,0.78,Narendra Modi Stadium (Ahmedabad),Night (Dew),2,13.3,6,86,39,7.37,13.23,13.3,Pink Ball,85.4,Leg-break,Outside Off,Full Toss,Drive,Edge,0,0,0.2880996371958463
Shubman Gill,Right,Anchor,0.85,Rashid Khan,LegSpin,0.9,Narendra Modi Stadium (Ahmedabad),Night (Dew),2,13.6,6,76,36,6.32,12.67,13.6,SG Test,99.3,Leg-break,Middle Stump,Full,Defensive,Weak,1,0,0.34253898353078355
Virat Kohli,Right,Anchor,0.92,Rashid Khan,LegSpin,0.9,Narendra Modi Stadium (Ahmedabad),Overcast,1,13.5,7,0,37,9.63,0.0,13.5,SG Test,99.8,Leg-break,Leg Stump,Good Length,Drive,Edge,1,0,0.16312949663898768
Rishabh Pant,Left,Aggressive,0.78,Rashid Khan,LegSpin,0.9,Narendra Modi Stadium (Ahmedabad),Humid,2,2.1,1,143,107,7.62,8.02,2.1,White Kookaburra,99.3,Googly,Outside Leg,Good Length,Defensive,Weak,2,0,0.952871573196549
Suryakumar Yadav,Right,Aggressive,0.94,Yuzvendra Chahal,LegSpin,0.78,M. A. Chidambaram Stadium (Chennai),Overcast,2,2.1,1,128,107,5.24,7.18,2.1,Pink Ball,82.3,Leg-break,Leg Stump,Good Length,Drive,Weak,0,0,0.9631782909017216
Rohit Sharma,Right,Aggressive,0.82,Jasprit Bumrah,Fast,0.96,Arun Jaitley Stadium (Delhi),Overcast,2,11.4,6,71,50,9.56,8.52,11.4,Pink Ball,149.9,Bouncer,Middle Stump,Short,Slog,Edge,0,0,0.6807330959877327
MS Dhoni,Right,Finisher,0.86,Ravindra Jadeja,Ortho,0.86,M. A. Chidambaram Stadium (Chennai),Overcast,2,13.5,6,35,37,8.44,5.68,13.5,Pink Ball,70.5,Cutter,Outside Off,Full,Drive,Edge,0,0,0.8530007990674459
Suryakumar Yadav,Right,Aggressive,0.94,Yuzvendra Chahal,LegSpin,0.78,Wankhede Stadium (Mumbai),Sunny,2,19.5,9,42,1,7.18,252.0,19.5,SG Test,80.5,Leg-break,Outside Off,Good Length,Drive,Solid,4,0,0.0
Shubman Gill,Right,Anchor,0.85,Mitchell Starc,LeftArmFast,0.82,M. Chinnaswamy Stadium (Bengaluru),Night (Dew),1,6.6,4,0,78,8.79,0.0,6.6,Pink Ball,143.2,Out-swinger,On the Off Stump,Short,Defensive,Solid,4,0,0.1738799476122387
Virat Kohli,Right,Anchor,0.92,Ravindra Jadeja,Ortho,0.86,HPCA Stadium (Dharamshala),Night (Dew),2,17.1,9,22,17,7.66,7.76,17.1,Pink Ball,76.1,Cutter,Middle Stump,Full,Glance,Weak,0,0,0.43057636198227894
MS Dhoni,Right,Finisher,0.86,Mitchell Starc,LeftArmFast,0.82,Arun Jaitley Stadium (Delhi),Sunny,2,14.5,7,75,31,6.0,14.52,14.5,White Kookaburra,145.4,Yorker,Outside Off,Yorker,Ramp/Scoop,Edge,1,0,0.1443031340905187
Virat Kohli,Right,Anchor,0.92,Mitchell Starc,LeftArmFast,0.82,Eden Gardens (Kolkata),Humid,1,5.6,3,0,84,9.46,0.0,5.6,Pink Ball,147.3,In-swinger,Middle Stump,Short,Glance,Edge,1,0,0.34961089485898955
Suryakumar Yadav,Right,Aggressive,0.94,Jasprit Bumrah,Fast,0.96,HPCA Stadium (Dharamshala),Overcast,1,10.2,5,0,58,7.16,0.0,10.2,Pink Ball,129.0,Cutter,Leg Stump,Full,Sweep,Edge,0,0,0.15
MS Dhoni,Right,Finisher,0.86,Yuzvendra Chahal,LegSpin,0.78,Narendra Modi Stadium (Ahmedabad),Sunny,1,14.1,8,0,35,9.36,0.0,14.1,SG Test,87.5,Leg-break,On the Off Stump,Full,Defensive,Solid,1,0,0.15
Suryakumar Yadav,Right,Aggressive,0.94,Yuzvendra Chahal,LegSpin,0.78,HPCA Stadium (Dharamshala),Overcast,2,13.3,6,58,39,6.17,8.92,13.3,White Kookaburra,78.5,Googly,Outside Off,Short,Lofted Shot,Solid,0,0,0.6444512576212934
MS Dhoni,Right,Finisher,0.86,Rashid Khan,LegSpin,0.9,Rajiv Gandhi International Stadium (Hyderabad),Sunny,2,4.5,2,164,91,7.78,10.81,4.5,White Kookaburra,99.7,Leg-break,Leg Stump,Short,Slog,Weak,1,0,0.8315519900868937
Suryakumar Yadav,Right,Aggressive,0.94,Rashid Khan,LegSpin,0.9,Narendra Modi Stadium (Ahmedabad),Sunny,2,11.3,5,93,51,9.29,10.94,11.3,Pink Ball,97.5,Googly,Outside Off,Good Length,Drive,Weak,0,0,0.5729751159216221
Suryakumar Yadav,Right,Aggressive,0.94,Rashid Khan,LegSpin,0.9,Rajiv Gandhi International Stadium (Hyderabad),Sunny,2,13.6,6,57,36,7.21,9.5,13.6,SG Test,97.9,Googly,Leg Stump,Full,Drive,Weak,1,0,0.6082590307465144
Rohit Sharma,Right,Aggressive,0.82,Rashid Khan,LegSpin,0.9,Rajiv Gandhi International Stadium (Hyderabad),Sunny,2,8.1,5,96,71,10.99,8.11,8.1,SG Test,96.0,Leg-break,Leg Stump,Full,Defensive,Weak,0,0,0.7891817065222528
Shubman Gill,Right,Anchor,0.85,Ravindra Jadeja,Ortho,0.86,Eden Gardens (Kolkata),Night (Dew),2,8.1,4,135,71,7.9,11.41,8.1,White Kookaburra,93.0,Normal,Leg Stump,Full,Glance,Edge,1,0,0.650218548573827
Virat Kohli,Right,Anchor,0.92,Rashid Khan,LegSpin,0.9,Wankhede Stadium (Mumbai),Humid,2,10.1,5,93,59,7.52,9.46,10.1,White Kookaburra,101.8,Googly,Leg Stump,Full,Defensive,Weak,0,0,0.6969379095109514
MS Dhoni,Right,Finisher,0.86,Yuzvendra Chahal,LegSpin,0.78,Eden Gardens (Kolkata),Humid,2,16.4,9,81,20,6.77,24.3,16.4,Pink Ball,86.1,Leg-break,Middle Stump,Good Length,Drive,Weak,0,0,0.0017391266455138114
Virat Kohli,Right,Anchor,0.92,Mitchell Starc,LeftArmFast,0.82,M. A. Chidambaram Stadium (Chennai),Humid,1,19.2,9,0,4,8.18,0.0,19.2,White Kookaburra,140.1,In-swinger,On the Off Stump,Short,Defensive,Solid,2,0,0.15
Rohit Sharma,Right,Aggressive,0.82,Ravindra Jadeja,Ortho,0.86,Wankhede Stadium (Mumbai),Humid,2,6.2,4,130,82,10.97,9.51,6.2,White Kookaburra,87.6,Normal,On the Off Stump,Good Length,Drive,Edge,0,0,0.7737537442183218
Rishabh Pant,Left,Aggressive,0.78,Rashid Khan,LegSpin,0.9,Narendra Modi Stadium (Ahmedabad),Overcast,1,5.1,2,0,89,8.82,0.0,5.1,Pink Ball,99.4,Googly,Middle Stump,Full,Defensive,Solid,6,0,0.403115621740233
Rishabh Pant,Left,Aggressive,0.78,Mitchell Starc,LeftArmFast,0.82,Arun Jaitley Stadium (Delhi),Night (Dew),2,15.1,9,41,29,7.28,8.48,15.1,Pink Ball,145.2,Yorker,Middle Stump,Yorker,Defensive,Weak,1,0,0.409024380331626
Rohit Sharma,Right,Aggressive,0.82,Rashid Khan,LegSpin,0.9,Wankhede Stadium (Mumbai),Night (Dew),1,10.5,5,0,55,8.76,0.0,10.5,SG Test,95.1,Leg-break,Outside Off,Short,Pull/Hook,Weak,1,0,0.1687517200703762
Virat Kohli,Right,Anchor,0.92,Ravindra Jadeja,Ortho,0.86,M. A. Chidambaram Stadium (Chennai),Overcast,1,17.2,9,0,16,7.21,0.0,17.2,White Kookaburra,72.9,Cutter,Middle Stump,Good Length,Glance,Edge,1,0,0.15
MS Dhoni,Right,Finisher,0.86,Mitchell Starc,LeftArmFast,0.82,Rajiv Gandhi International Stadium (Hyderabad),Night (Dew),2,16.5,9,60,19,8.36,18.95,16.5,White Kookaburra,140.0,In-swinger,Middle Stump,Short,Slog,Solid,2,0,0.01575578168368067
Shubman Gill,Right,Anchor,0.85,Ravindra Jadeja,Ortho,0.86,M. A. Chidambaram Stadium (Chennai),Sunny,1,7.5,4,0,73,8.0,0.0,7.5,Pink Ball,91.0,Normal,Outside Off,Full,Defensive,Weak,1,0,0.235952400202534
Rishabh Pant,Left,Aggressive,0.78,Jasprit Bumrah,Fast,0.96,M. A. Chidambaram Stadium (Chennai),Overcast,2,11.3,5,65,51,6.28,7.65,11.3,SG Test,146.9,Yorker,Middle Stump,Yorker,Defensive,Weak,0,0,0.8130573860319537
MS Dhoni,Right,Finisher,0.86,Jasprit Bumrah,Fast,0.96,Rajiv Gandhi International Stadium (Hyderabad),Sunny,2,0.5,0,152,115,4.0,7.93,0.5,SG Test,151.5,Out-swinger,Outside Off,Good Length,Defensive,Weak,1,0,0.9682753049841503
MS Dhoni,Right,Finisher,0.86,Yuzvendra Chahal,LegSpin,0.78,Wankhede Stadium (Mumbai),Night (Dew),1,6.2,3,0,82,10.0,0.0,6.2,SG Test,81.6,Leg-break,Outside Off,Full,Ramp/Scoop,Weak,1,0,0.4093467172991142
Shubman Gill,Right,Anchor,0.85,Yuzvendra Chahal,LegSpin,0.78,M. A. Chidambaram Stadium (Chennai),Sunny,1,14.2,7,0,34,7.46,0.0,14.2,White Kookaburra,86.0,Leg-break,Outside Off,Good Length,Defensive,Weak,0,0,0.15
Rohit Sharma,Right,Aggressive,0.82,Yuzvendra Chahal,LegSpin,0.78,Narendra Modi Stadium (Ahmedabad),Overcast,1,8.2,4,0,70,9.51,0.0,8.2,SG Test,80.2,Leg-break,Outside Off,Full Toss,Drive,Weak,0,0,0.3075443261910423
Shubman Gill,Right,Anchor,0.85,Ravindra Jadeja,Ortho,0.86,Eden Gardens (Kolkata),Humid,2,2.5,1,169,103,10.0,9.84,2.5,SG Test,67.3,Cutter,Outside Off,Good Length,Drive,Weak,0,0,0.9105678546113425
Suryakumar Yadav,Right,Aggressive,0.94,Ravindra Jadeja,Ortho,0.86,Narendra Modi Stadium (Ahmedabad),Sunny,1,6.4,4,0,80,8.28,0.0,6.4,SG Test,95.3,Normal,Leg Stump,Good Length,Defensive,Weak,1,0,0.1984516183438463
Rohit Sharma,Right,Aggressive,0.82,Ravindra Jadeja,Ortho,0.86,Eden Gardens (Kolkata),Sunny,1,1.2,0,0,112,7.5,0.0,1.2,Pink Ball,94.6,Normal,Outside Off,Short,Defensive,Weak,1,0,0.3276683008207139
Suryakumar Yadav,Right,Aggressive,0.94,Yuzvendra Chahal,LegSpin,0.78,M. A. Chidambaram Stadium (Chennai),Sunny,2,16.2,8,34,22,7.72,9.27,16.2,SG Test,79.1,Googly,Middle Stump,Full,Sweep,Weak,0,0,0.40131233988754805
Suryakumar Yadav,Right,Aggressive,0.94,Mitchell Starc,LeftArmFast,0.82,Narendra Modi Stadium (Ahmedabad),Night (Dew),2,4.3,2,148,93,8.37,9.55,4.3,White Kookaburra,150.7,Yorker,Middle Stump,Yorker,Ramp/Scoop,Solid,1,0,0.890178454389612
Suryakumar Yadav,Right,Aggressive,0.94,Jasprit Bumrah,Fast,0.96,M. Chinnaswamy Stadium (Bengaluru),Humid,2,17.4,9,4,14,11.67,1.71,17.4,White Kookaburra,145.9,Yorker,Middle Stump,Yorker,Ramp/Scoop,Weak,1,0,0.8923895139752664
Virat Kohli,Right,Anchor,0.92,Yuzvendra Chahal,LegSpin,0.78,M. A. Chidambaram Stadium (Chennai),Overcast,2,17.5,8,10,13,7.54,4.62,17.5,SG Test,84.0,Leg-break,Middle Stump,Good Length,Defensive,Weak,1,0,0.8061210621761402
Rohit Sharma,Right,Aggressive,0.82,Ravindra Jadeja,Ortho,0.86,HPCA Stadium (Dharamshala),Sunny,1,15.3,9,0,27,6.8,0.0,15.3,Pink Ball,91.3,Off-break,On the Off Stump,Good Length,Drive,Edge,1,0,0.15
Suryakumar Yadav,Right,Aggressive,0.94,Mitchell Starc,LeftArmFast,0.82,Eden Gardens (Kolkata),Night (Dew),2,18.1,9,1,11,9.12,0.55,18.1,SG Test,145.4,Out-swinger,On the Off Stump,Good Length,Ramp/Scoop,Solid,4,0,1.0
Rohit Sharma,Right,Aggressive,0.82,Rashid Khan,LegSpin,0.9,Arun Jaitley Stadium (Delhi),Sunny,2,15.6,7,86,24,6.67,21.5,15.6,White Kookaburra,99.1,Googly,Leg Stump,Good Length,Slog,Edge,1,0,0.01260633225363244
Virat Kohli,Right,Anchor,0.92,Jasprit Bumrah,Fast,0.96,Eden Gardens (Kolkata),Sunny,2,1.5,1,173,109,8.0,9.52,1.5,White Kookaburra,148.8,Yorker,On the Off Stump,Yorker,Defensive,Weak,2,0,0.9223705374435115
MS Dhoni,Right,Finisher,0.86,Jasprit Bumrah,Fast,0.96,HPCA Stadium (Dharamshala),Night (Dew),1,0.4,0,0,116,5.0,0.0,0.4,Pink Ball,126.9,Cutter,On the Off Stump,Full,Drive,Missed,0,0,0.165665090766696
Shubman Gill,Right,Anchor,0.85,Ravindra Jadeja,Ortho,0.86,Narendra Modi Stadium (Ahmedabad),Overcast,1,15.6,8,0,24,8.59,0.0,15.6,Pink Ball,93.7,Normal,On the Off Stump,Good Length,Drive,Weak,1,0,0.15
Virat Kohli,Right,Anchor,0.92,Rashid Khan,LegSpin,0.9,M. Chinnaswamy Stadium (Bengaluru),Overcast,1,5.4,3,0,86,10.37,0.0,5.4,Pink Ball,94.0,Leg-break,Middle Stump,Full,Drive,Edge,0,0,0.3606217334045087
Rohit Sharma,Right,Aggressive,0.82,Ravindra Jadeja,Ortho,0.86,M. Chinnaswamy Stadium (Bengaluru),Overcast,1,17.1,9,0,17,9.94,0.0,17.1,White Kookaburra,90.4,Normal,Leg Stump,Full,Defensive,Weak,0,0,0.15
MS Dhoni,Right,Finisher,0.86,Mitchell Starc,LeftArmFast,0.82,M. Chinnaswamy Stadium (Bengaluru),Night (Dew),1,1.6,0,0,108,8.12,0.0,1.6,SG Test,145.9,Yorker,On the Off Stump,Yorker,Drive,Solid,1,0,0.3165872762279362
Virat Kohli,Right,Anchor,0.92,Ravindra Jadeja,Ortho,0.86,Rajiv Gandhi International Stadium (Hyderabad),Overcast,2,18.1,9,52,11,7.02,28.36,18.1,Pink Ball,88.1,Normal,Outside Off,Full,Defensive,Solid,2,0,0.00037060614062639654
Shubman Gill,Right,Anchor,0.85,Mitchell Starc,LeftArmFast,0.82,M. Chinnaswamy Stadium (Bengaluru),Night (Dew),1,7.3,3,0,75,10.68,0.0,7.3,White Kookaburra,147.0,In-swinger,Middle Stump,Yorker,Defensive,Solid,1,0,0.4076955696714446
Shubman Gill,Right,Anchor,0.85,Jasprit Bumrah,Fast,0.96,Narendra Modi Stadium (Ahmedabad),Night (Dew),2,3.2,1,137,100,7.19,8.22,3.2,White Kookaburra,140.8,In-swinger,On the Off Stump,Full Toss,Drive,Weak,0,0,0.9498811360638607
Rohit Sharma,Right,Aggressive,0.82,Ravindra Jadeja,Ortho,0.86,Arun Jaitley Stadium (Delhi),Night (Dew),1,18.3,9,0,9,9.78,0.0,18.3,Pink Ball,87.1,Normal,Outside Leg,Good Length,Drive,Edge,0,1,0.15
Shubman Gill,Right,Anchor,0.85,Mitchell Starc,LeftArmFast,0.82,Wankhede Stadium (Mumbai),Overcast,1,13.4,8,0,38,9.78,0.0,13.4,SG Test,136.7,Out-swinger,Outside Off,Good Length,Drive,Solid,4,0,0.15
